timestamp,source_layer,target_layer,method
2026-06-17,E-PV-EQUIPMENT,E-EQUIP,static
2026-06-17,Text Simplex,G-ANNO-TEXT,static
2026-06-17,Viewport,G-VPORT,static
2026-06-17,E_Dimensions,G-ANNO-DIMS,static
2026-06-17,A_Dimensions,G-ANNO-DIMS,static
2026-06-17,G_Text New,G-ANNO-TEXT,static
2026-06-17,A-PROPERTY LINE,A-PROP,static
2026-06-17,S-ANNO-TEXT,G-ANNO-TEXT,static
2026-06-17,A_Fire access,A-FIRE,static
2026-06-17,E-EQUIPMENT NEW,E-EQUIP,static
2026-06-17,E-WORKING CLEARANCE,E-CLEARANCE,static
2026-06-17,E_Clearance,E-CLEARANCE,static
2026-06-17,TEXT WHITE,G-ANNO-TEXT,static
2026-06-17,G_LAYOUT_TEXT,G-ANNO-STAMP,static
2026-06-17,L-PROP-LINE,A-PROP,static
2026-06-17,6,0,static
2026-06-17,8,0,static
2026-06-17,E-PV-DETAILS,E-DETL,static
2026-06-17,E_Details,E-DETL,static
2026-06-17,G_Text,G-ANNO-TEXT,static
2026-06-17,A-BUILDING,A-BLDG,static
2026-06-17,E_Text,G-ANNO-TEXT,static
2026-06-17,S_Details,S-DETL,static
2026-06-17,S_(E) Purilins SEC,S-ROOF,static
2026-06-17,S_Mount,PV-RACK,static
2026-06-17,E-PV-COLUMNS CARPORT,S-CARPORT,static
2026-06-17,S-COLS,S-CARPORT,static
2026-06-17,E-PV-MODULE,PV-MODS,static
2026-06-17,G_Defpoints,Defpoints,static
2026-06-17,S_Rail,PV-RACK,static
2026-06-17,IR_MOD,PV-MODS,static
2026-06-17,G_White,Purge,static
2026-06-17,E-STRINGING,E-STRING,static
2026-06-17,PDF_S-CONN,S-DETL,static
2026-06-17,PDF_S-TS,S-DETL,static
2026-06-17,PDF_S-HAT,G-HATCH,static
2026-06-17,PDF_S-DIM,G-ANNO-DIMS,static
2026-06-17,PDF_S-LGS,S-DETL,static
2026-06-17,PDF_S-STL,S-DETL,static
2026-06-17,PDF_S-EX,S-DETL,static
2026-06-17,E_Equiment New,E-EQUIP,static
2026-06-17,E_Equipment New,E-EQUIP,static
2026-06-17,structure,S-CARPORT,static
2026-06-17,Hatch,G-HATCH,static
2026-06-17,Bld Outline,A-BLDG,static
